City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
122,Kodinsk,RU,58.6881,99.1844,-4.38,84,0,6.17,clear sky
123,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,64,90,20.71,overcast clouds
124,Khatanga,RU,71.9667,102.5,-1.05,93,100,11.97,light snow
125,Zyryanka,RU,65.75,150.85,-22.65,83,83,6.06,broken clouds
126,Kavieng,PG,-2.5744,150.7967,84.74,73,100,15.95,light rain
127,Obo,CF,5.3998,26.4869,67.87,30,18,5.1,few clouds
128,Miracema Do Tocantins,BR,-9.5618,-48.3967,76.35,69,0,1.39,clear sky
129,Nueve De Julio,AR,-35.4444,-60.8831,75.0,59,1,5.99,clear sky
130,Bubaque,GW,11.2833,-15.8333,78.62,77,70,12.66,broken clouds
131,Atuona,PF,-9.8,-139.0333,77.74,70,71,16.22,broken clouds
132,Podporozhye,RU,60.9112,34.1706,6.73,95,100,4.45,overcast clouds
133,Hamilton,US,39.1834,-84.5333,35.6,64,90,5.75,overcast clouds
134,Beringovskiy,RU,63.05,179.3167,-16.94,86,7,5.99,clear sky
135,Laguna,US,38.421,-121.4238,45.0,81,1,3.58,haze
136,Artigas,UY,-30.4,-56.4667,72.0,28,0,1.66,clear sky
137,Norman Wells,CA,65.282,-126.8329,-11.2,77,1,3.44,clear sky
138,Katsuura,JP,35.1333,140.3,46.0,48,40,8.05,scattered clouds
139,Dingle,PH,10.9995,122.6711,80.67,86,99,13.22,moderate rain
140,Saint-Joseph,RE,-21.3667,55.6167,80.6,65,0,17.27,clear sky
141,Vung Tau,VN,10.346,107.0843,80.01,68,70,9.84,broken clouds
142,Upernavik,GL,72.7868,-56.1549,-5.04,92,83,6.69,broken clouds
143,Dikson,RU,73.5069,80.5464,8.71,95,96,20.29,overcast clouds
144,Aklavik,CA,68.2191,-135.0107,12.2,85,0,4.61,clear sky
145,Breyten,ZA,-26.3018,29.987,56.32,94,52,1.41,broken clouds
146,Blytheville,US,35.9273,-89.919,37.4,75,90,19.57,overcast clouds
147,Kruisfontein,ZA,-34.0033,24.7314,66.99,91,73,1.99,broken clouds
148,Aitape,PG,-3.1374,142.3475,85.59,66,100,3.85,light rain
149,Cam Ranh,VN,11.9214,109.1591,82.4,69,20,19.57,light rain
150,Salalah,OM,17.0151,54.0924,68.0,32,0,10.36,clear sky
151,Kajaani,FI,64.2273,27.7285,17.6,93,90,6.91,light snow
152,Silifke,TR,36.3778,33.9344,56.55,59,40,7.54,scattered clouds
153,Ust-Nera,RU,64.5667,143.2,-29.31,74,98,2.98,overcast clouds
154,Henties Bay,NA,-22.116,14.2845,68.0,88,100,3.22,overcast clouds
155,Shitanjing,CN,39.2342,106.3439,8.98,54,0,6.17,clear sky
156,Burnie,AU,-41.0667,145.9167,72.0,58,0,15.01,clear sky
157,Aksaray,TR,38.3726,34.0254,32.0,93,75,4.45,broken clouds
158,Sawakin,SD,19.1059,37.3321,74.12,76,35,11.9,light rain
159,Beaverlodge,CA,55.2166,-119.4361,8.6,85,40,4.61,scattered clouds
160,Pangkalanbuun,ID,-2.6833,111.6167,84.67,77,89,4.45,overcast clouds
161,Amapa,BR,1.0,-52.0,71.73,96,100,2.26,light rain
162,Fairbanks,US,64.8378,-147.7164,3.2,78,75,3.09,broken clouds
163,Mosjoen,NO,65.836,13.1908,26.6,63,88,10.36,overcast clouds
164,Mozhaysk,RU,55.5019,36.0272,19.35,98,100,9.35,overcast clouds
165,Yulara,AU,-25.2406,130.9889,89.6,12,0,16.11,clear sky
166,Khor,RU,47.8861,134.9464,-12.95,83,96,11.1,overcast clouds
167,Vysokogornyy,RU,50.1167,139.15,-16.51,84,96,5.95,overcast clouds
168,Ongandjera,NA,-17.8833,15.0667,73.29,75,100,4.9,overcast clouds
169,Victoria,HK,22.2855,114.1577,52.0,57,95,1.01,overcast clouds
170,Port Hedland,AU,-20.3167,118.5667,100.4,39,93,17.27,overcast clouds
171,Constitucion,CL,-35.3333,-72.4167,57.13,70,3,9.55,clear sky
172,Visnes,NO,59.3556,5.2242,30.99,68,97,8.05,overcast clouds
173,Adana,TR,36.985,35.2881,48.2,76,0,4.61,clear sky
174,Erdenet,MN,49.0333,104.0833,-5.98,84,0,5.68,clear sky
175,Aksu,CN,41.1231,80.2644,16.5,77,100,1.12,overcast clouds
176,Carnarvon,AU,-24.8667,113.6333,89.6,58,6,13.8,clear sky
177,Airai,TL,-8.9266,125.4092,70.47,94,100,1.72,moderate rain
178,Tura,IN,25.5198,90.2201,75.61,46,26,2.04,scattered clouds
179,Yelizovo,RU,53.1873,158.3805,8.6,52,0,6.71,clear sky
