City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
70,Kahului,US,82.4,few clouds,20.8947,-156.47,Maui Seaside Hotel
77,Avarua,CK,84.2,scattered clouds,-21.2078,-159.775,Paradise Inn
81,New Norfolk,AU,81.0,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
89,Saint-Philippe,RE,80.6,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
91,Ambon,ID,89.6,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
93,Sao Miguel,BR,78.8,few clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
97,Ikongo,MG,76.53,few clouds,-21.8833,47.4333,
119,Kondagaon,IN,77.54,scattered clouds,19.6,81.6667,AYAN MOTER
126,Kavieng,PG,84.74,light rain,-2.5744,150.7967,Nusa Island Retreat
128,Miracema Do Tocantins,BR,76.35,clear sky,-9.5618,-48.3967,Miami Apart Hotel
129,Nueve De Julio,AR,75.0,clear sky,-35.4444,-60.8831,Grand Hotel Libertad - GHL
130,Bubaque,GW,78.62,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
131,Atuona,PF,77.74,broken clouds,-9.8,-139.0333,Villa Enata
139,Dingle,PH,80.67,moderate rain,10.9995,122.6711,SEGAYA PROPERTY
140,Saint-Joseph,RE,80.6,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
141,Vung Tau,VN,80.01,broken clouds,10.346,107.0843,Seaside Resort
148,Aitape,PG,85.59,light rain,-3.1374,142.3475,
149,Cam Ranh,VN,82.4,light rain,11.9214,109.1591,OYO 598 Peony Hotel
160,Pangkalanbuun,ID,84.67,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
165,Yulara,AU,89.6,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
176,Carnarvon,AU,89.6,clear sky,-24.8667,113.6333,Hospitality Carnarvon
178,Tura,IN,75.61,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
182,Maputo,MZ,75.0,broken clouds,-25.9653,32.5892,Pestana Rovuma
183,Tautira,PF,86.0,scattered clouds,-17.7333,-149.15,Pension Oaoa
194,Arambagh,IN,80.04,broken clouds,22.8833,87.7833,SDO Bunglow
195,Calape,PH,82.4,broken clouds,9.8922,123.8748,Calape Forest Resort
197,Salinopolis,BR,79.99,few clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
198,Alofi,NU,86.0,moderate rain,-19.0595,-169.9187,Taloa Heights
204,Isangel,VU,86.0,broken clouds,-19.55,169.2667,Volcano Sea View Tree House
210,Makasar,ID,80.6,scattered clouds,-5.14,119.4221,Aryaduta Makassar
213,Esperance,AU,87.8,few clouds,-33.8667,121.9,Hospitality Esperance
221,Itaituba,BR,76.28,few clouds,-4.2761,-55.9836,Hotel Campos
225,Sambava,MG,77.36,clear sky,-14.2667,50.1667,Melrose
226,Kilindoni,TZ,80.82,broken clouds,-7.9139,39.6668,Bustani B&B
227,Bambous Virieux,MU,80.01,scattered clouds,-20.3428,57.7575,Casa Tia Villa
230,Ambilobe,MG,77.04,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
245,Kaeo,NZ,77.0,broken clouds,-35.1,173.7833,Bushido Lodge
250,Paka,MY,80.6,scattered clouds,4.6374,103.4368,Rumbia Resort Villa Paka Terengganu
255,Hambantota,LK,77.0,broken clouds,6.1241,81.1185,Bungalow 63
263,Poum,NC,83.3,few clouds,-20.2333,164.0167,Gîte kajeon
274,Tual,ID,83.39,broken clouds,-5.6667,132.75,Grand Vilia Hotel
275,Mangaratiba,BR,77.47,light rain,-22.9597,-44.0406,Portobello Resort & Safari
279,Tadine,NC,78.71,moderate rain,-21.55,167.8833,
281,Loandjili,CG,77.23,overcast clouds,-4.7561,11.8578,Résidence ARCHANGE
283,Nelson Bay,AU,75.2,broken clouds,-32.7167,152.15,Mantra Nelson Bay
293,Samarai,PG,80.92,light rain,-10.6167,150.6667,Nuli Sapi
296,Alta Floresta,BR,76.41,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
299,Ngunguru,NZ,77.0,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
301,Presidencia Roque Saenz Pena,AR,79.0,few clouds,-26.7852,-60.4388,Hotel Gualok
302,Gadwal,IN,76.68,clear sky,16.2333,77.8,MS RESIDENCY
303,Bowen,AU,82.4,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
304,Bambanglipuro,ID,83.21,overcast clouds,-7.95,110.2833,Puri Brata
312,Balikpapan,ID,84.2,few clouds,-1.2675,116.8289,Grand Jatra Hotel Balikpapan
315,Phan Thiet,VN,81.97,broken clouds,10.9333,108.1,Hotel Saigon-PT
338,Boyolangu,ID,79.75,overcast clouds,-8.1181,111.8935,Yos ega cv
340,Luanda,AO,77.0,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
341,Touros,BR,78.8,few clouds,-5.1989,-35.4608,INN NEW HORIZON
344,Kendari,ID,84.45,light rain,-3.945,122.4989,Hotel Wixel
346,Vanimo,PG,83.68,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
349,Kieta,PG,83.41,moderate rain,-6.2167,155.6333,
